Name,Matches,Runs,Bat_Average
Aamer Hameed,2(1977-1978),0,N/A
Aamer Hanif,5(1993-1995),89,44.5
Aamer Malik,24(1988-1994),556,25.27
Aamer Yamin,4(2015-),95,95
Aamir Nazir,9(1993-1995),13,13
Aamir Sohail,156(1990-2000),4780,31.87
Aaqib Javed,163(1988-1998),267,10.68
Aarif Sheikh,6(2018-),94,18.8
Varun R Aaron,9(2011-2014),8,8
Josephat Ababu,9(1999-2006),29,9.67
Kyle J Abbott,28(2013-),76,8.44
Sean A Abbott,1(2014-2014),3,3
Abdul Jabbar,2(2007-2007),59,29.5
Abdul Qadir,104(1983-1993),641,15.26
Abdul Razzaq,265(1996-2011),5080,29.71
Abdul Rehman,1(2004-2004),1,1
Abdul Shakoor,3(2015-),54,18
Abdullah Mazari,2(2010-2010),3,3
Abdur Rauf,4(2008-2008),0,N/A
Abdur Razzak,153(2004-2014),779,13.67
Abdur Rehman,31(2006-2014),142,8.35
Syed Abid Ali,5(1974-1975),93,31
Shafiek Abrahams,1(2000-2000),16,N/A
Abu Hider,2(2018-),1,1
Abul Hasan,7(2012-),11,3.67
Andre R Adams,42(2001-2007),419,17.46
Christopher J Adams,5(1998-2000),71,17.75
James C Adams,127(1992-2001),2204,28.62
Paul R Adams,24(1996-2003),66,16.5
Adeel Raja,21(2002-2011),28,2.8
Adnan Akmal,5(2011-2012),62,20.67
Adnan Mufti,18(2017-),330,27.5
Afsar Zazai,17(2014-),264,17.6
Aftab Ahmed,85(2004-2010),1954,24.73
Aftab Alam,20(2010-),61,15.25
Afzaal Haider,4(2004-2008),22,7.33
Rageg G Aga,12(2004-2014),150,16.67
Ashton C Agar,9(2015-),144,20.57
Ajit B Agarkar,191(1998-2007),1269,14.59
Jonathan P Agnew,3(1985-1985),2,N/A
Franklyn S Ahangama,1(1985-1985),0,N/A
Khaleel Khursheed Ahmed,8(2018-),9,4.5
Ahmed Kamal,1(1999-1999),11,11
Ahmed Raza,25(2014-),232,12.89
Ahmed Shah,1(2009-2009),2,2
Ahmed Shehzad,81(2009-),2605,32.56
Ahsan Malik,12(2011-2014),14,N/A
Aijaz Ali,2(2004-2004),5,2.5
Dipendra Singh Airee,6(2018-),108,18
Aizaz Cheema,14(2011-2012),26,8.67
Aizaz Khan,19(2014-),260,20
Ajmal Shahzad,11(2010-2011),39,6.5
Akhtar Sarfraz,4(1997-1998),66,16.5
Akram Khan,44(1988-2003),976,23.24
Akram Raza,49(1989-1995),193,17.55
Al Sahariar Rokon,29(1999-2003),374,13.36
Alam Talukdar,2(1990-1990),7,N/A
Al-Amin Hossain,14(2014-2015),4,2
Alawi Shukri,1(2008-2008),1,1
Terence Michael Alderman,65(1981-1991),32,2.67
Graeme W Aldridge,2(2011-2011),0,N/A
Rohan P Alexander,2(2004-2004),34,17
Moeen Munir Ali,92(2014-),1645,26.11
Rajab W Ali,9(1996-1997),7,N/A
Ali Asad,2(2004-2004),21,21
Duncan I Allan,5(2011-2013),71,14.2
Fabian Anthony Allen,4(2018-),25,6.25
Mark W Alleyne,10(1999-2000),151,21.57
Michael J D Allingham,3(1999-1999),11,3.67
Geoffrey I Allott,31(1997-2000),17,3.4
Paul J W Allott,13(1982-1985),15,3.75
Alok Kapali,69(2002-2011),1235,19.6
Kaushik N Amalean,8(1986-1988),15,7.5
Mohammad Aman Ali,1(2008-2008),0,0
Mohinder Amarnath,85(1975-1989),1924,30.54
Surinder Amarnath,3(1978-1978),100,33.33
Sunil Walford Ambris,1(2017-),38,N/A
Curtly E L Ambrose,176(1988-2000),639,10.65
Timothy R Ambrose,5(2008-2008),10,2.5
Merenna K D I Amerasinghe,8(2007-2008),6,N/A
Charles J A Amini,6(2014-),121,24.2
Christopher R Amini,2(2014-2014),3,N/A
Aminul Islam,39(1988-2002),794,23.35
Aminul Islam Jnr,1(1999-1999),1,N/A
Amir Hamza,31(2012-),23,3.29
Amir Hayat,9(2018-),31,10.33
Dennis L Amiss,18(1972-1977),859,47.72
Amjad Ali,17(2008-2015),520,30.59
Amjad Javed,15(2008-),239,19.92
Hashim Mahomed Amla,174(2008-),7910,49.75
Praveen K Amre,37(1991-1994),513,20.52
Anamul Haque,37(2012-),1038,30.53
Corey J Anderson,49(2013-),1109,27.73
John Anderson,8(2014-),151,18.88
James M Anderson,194(2002-2015),273,7.58
Robert W Anderson,2(1976-1978),16,16
Joseph O Angara,17(1997-2003),23,3.83
Jo Angel,3(1994-1995),0,0
Anisur Rehman,2(1995-1998),2,1
Salil A Ankola,20(1989-1997),34,3.78
Ankur Vasishta,4(2014-2014),36,12
Zafar S Ansari,1(2015-2015),0,N/A
Anshuman Rath,18(2014-),828,51.75
Hamish A G Anthony,3(1995-1995),23,7.67
Sangarange D Anurasiri,45(1986-1994),62,10.33
Anwar Ali,22(2013-2016),321,29.18
Anwar Hossain,1(2002-2002),42,42
Anwar Hossain Monir,1(2002-2002),0,N/A
Gerald J A F Aponso,5(1996-1996),120,30
M Amila Aponso,9(2016-),10,3.33
Arafat Sunny,16(2014-2015),48,12
Ariful Haque,1(2018-),0,N/A
Geoffrey G Arnold,14(1972-1975),48,16
Russel P Arnold,180(1997-2007),3950,35.27
Kevin J Arnott,13(1987-1993),238,23.8
Arshad Ali,4(2004-2008),54,13.5
Arshad Ayub,32(1987-1990),116,11.6
Arshad Khan,58(1993-2006),133,12.09
Arshad Laeeq,6(1994-1996),101,20.2
Arshad Pervez,2(1978-1978),11,5.5
Keith L T Arthurton,105(1988-1999),1904,26.08
Bharathi Arun,4(1986-1987),21,10.5
Arun Lal,13(1982-1989),122,9.38
Asad Ali,4(2013-2013),13,6.5
Asad Shafiq,60(2010-),1336,24.74
Mohammad Asghar Afghan,96(2009-),1802,21.71
Asghar Ali,2(2004-2004),14,7
Ashfaq Ahmed,3(1994-1994),0,N/A
Ashfaq Ahmed,12(2018-),325,27.08
Ashraf Ali,16(1980-1985),69,17.25
Ravichandran Ashwin,111(2010-),675,16.07
Asif Ali,11(2018-),200,28.57
Asif Iqbal,10(1973-1979),330,55
Asif Iqbal,1(2015-2015),8,8
Asif Mahmood,2(1998-1998),14,7
Asif Masood,7(1973-1976),10,5
Mohammad Asif Mujtaba,66(1986-1996),1068,26.05
Asim Butt,5(1999-1999),23,5.75
Asim Saeed,2(2004-2004),12,6
Nathan J Astle,223(1995-2007),7090,34.93
Todd Duncan Astle,9(2017-),79,26.33
Marvan S Atapattu,268(1990-2007),8529,37.57
Ata-Ur-Rehman,30(1992-1996),34,4.86
Athar Ali Khan,19(1988-1998),532,29.56
Michael A Atherton,54(1990-1998),1791,35.12
Charles W J Athey,31(1980-1988),848,31.41
